"id","country_id","name","name_en","acase_code","del","ResortFeeRu","ResortFeeEn"
"148","19","Пенсильвания","Pennsylvania","0","0",NULL,NULL
"149","19","Род Айленд","Rhode Island","0","0",NULL,NULL
"150","19","Южная Каролина","South Carolina","0","0",NULL,NULL
"151","19","Южная Дакота","South Dakota","0","0",NULL,NULL
"152","19","Теннеси","Tennessee","0","0",NULL,NULL
"153","19","Техас","Texas","0","0",NULL,NULL
"154","19","Юта","Utah","0","0",NULL,NULL
"155","19","Вермонт","Vermont","0","0",NULL,NULL
"156","19","Вирджиния","Virginia","0","0",NULL,NULL
"157","19","Вашингтон","Washington","0","0",NULL,NULL
"158","19","Западная Вирджиния","West Virginia","0","0",NULL,NULL
"159","19","Висконсин","Wisconsin","0","0",NULL,NULL
"160","19","Вайоминг","Wyoming","0","0",NULL,NULL
"161","49","Мадхья-Прадеш","Madhya Pradesh","0","0",NULL,NULL
"162","49","Махараштра","Maharashtra","0","0",NULL,NULL
"163","49","Бихар","Bihar","0","0",NULL,NULL
"164","133","Антьокия","Antioquia","0","0",NULL,NULL
"165","133","Сантандер","Santander","0","0",NULL,NULL
"166","88","Параиба","Paraiba","0","0",NULL,NULL
"168","14","Гирин","Jilin","0","0",NULL,NULL
"169","14","Ляонин","Liaoning","0","0",NULL,NULL
"170","14","Аньхой","Anhui","0","0",NULL,NULL
"171","14","Шаньси","Shanxi","0","0",NULL,NULL
"172","35","Конья","Konya","0","0",NULL,NULL
"173","35","Зонгулдак","Zonguldak","0","0",NULL,NULL
"174","13","Гессен","Hessen","0","0",NULL,NULL
"175","13","Саксония","Sachsen","0","0",NULL,NULL
"176","255","Тотиги ","Tochigi","0","0",NULL,NULL
"177","255","Гумма","Gunma","0","0",NULL,NULL
"178","35","Ыспарта","Isparta","0","0",NULL,NULL
"179","35","Балыкесир","Balikesir","0","0",NULL,NULL
"180","49","Харьяна","Haryana","0","0",NULL,NULL
"181","49","Уттар-Прадеш","Uttar Pradesh","0","0",NULL,NULL
"182","255","Окинава","Okinawa","0","0",NULL,NULL
"183","255","Фукусима","Fukushima","0","0",NULL,NULL
"184","14","Шаньдун","Shandong","0","0",NULL,NULL
"185","14","Внутренняя Монголия","Inner Mongolia","0","0",NULL,NULL
"186","14","Юньнань","Yunnan","0","0",NULL,NULL
"187","255","Сайтама","Saitama","0","0",NULL,NULL
"188","255","Тиба","Chiba","0","0",NULL,NULL
"189","49","Западная Бенгалия","West Bengal","0","0",NULL,NULL
"190","255","Ибараки","Ibaraki","0","0",NULL,NULL
"191","255","Фукуока","Fukuoka","0","0",NULL,NULL
"192","49","Раджастхан","Rajasthan","0","0",NULL,NULL
"193","13","Нижняя Саксония","Lower Saxony","0","0",NULL,NULL
