"id","code","country_iso_alpha2","full_name_ru","full_name_en","latitude","longitude","city_id","pseudo_iata_code","timezone","region_code","main_station","isVisible","del","last_update","priority","osm_type","osm_id"
"4657","2014402","RU","Троекурово","Troekurovo","53.4137462","39.717443","1391",,"+03:00","48","0","1","0","2021-03-25 13:18:53","0","N","7140063023"
"4658","2014403","RU","Заново","Zanovo","53.3271046","39.8402426","1391",,"+03:00","48","0","1","0","2021-03-25 13:18:55","0","N","4072001999"
"4659","2014404","RU","Грязи","Gryazi","0","0","969",,"+03:00","48","1","1","0","2021-03-25 13:18:45","1",NULL,NULL
"4660","2014405","RU","Митягино","Mityagino","53.2307651","39.6987183","1391",,"+03:00","48","0","1","0","2021-03-25 13:19:00","0","N","1885088020"
"4665","2014410","RU","Кирсанов","Kirsanov","52.6433942","42.7291694","1462",,"+03:00","68","1","1","0","2021-03-25 13:18:50","1","N","4072002001"
"4666","2014411","RU","Уразово","Urazovo","50.0798573","38.0576161","1181",,"+03:00","31","0","1","0","2021-03-25 13:18:53","0","N","1268368676"
"4667","2014412","RU","Александро-Невская","Aleksandro-Nevskaya","53.4800355","40.2111934","1306",,"+03:00","62","0","1","0","2021-03-25 13:18:50","0","N","910666953"
"4669","2014414","RU","Богоявленск","Bogoyavlensk","53.2506213","40.2914116","1306",,"+03:00","68","1","1","0","2021-03-25 13:18:51","1","N","4072001997"
"4670","2014415","RU","Хоботово","Hobotovo","53.0729169","40.383894","1306",,"+03:00","68","0","1","0","2021-03-25 13:18:53","0","N","910666908"
"4673","2014418","RU","Мичуринск - Воронежский","Michurinsk-Voron","52.9017857","40.4520491","1371",,"+03:00","68","0","1","0","2021-03-25 13:18:52","0","N","6439771791"
"4674","2014419","RU","Никольское, Юго-Восточная, Тамбовская Область, Россия, 2014419","Nikolskoe","52.8253081","40.4088186","1371",,"+03:00","68","0","1","0","2021-03-25 13:19:25","0","N","3337101165"
